Protein1,Protein2,Taxonomy1,Taxonomy2,Taxonomy3,Taxonomy4,Miscore
Q9Q2G4,P33991,taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),taxid:9606(human),taxid:9606(Homo sapiens),0.56
Q9BZF3,Q9Q2G4,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),0.56
Q9Q2G4,Q9UKK3,taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),taxid:9606(human),taxid:9606(Homo sapiens),0.56
Q9Q2G4,P61758,taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),taxid:9606(human),taxid:9606(Homo sapiens),0.56
Q8TB72,Q9Q2G4,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),0.56
Q9Q2G4,Q12874,taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),taxid:9606(human),taxid:9606(Homo sapiens),0.56
O60232,Q9Q2G4,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),0.56
Q9UHF7,Q9Q2G4,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),0.56
Q9UMS0,Q9Q2G4,taxid:9606(human),taxid:9606(Homo sapiens),taxid:11676(9hiv1),taxid:11676(Human immunodeficiency virus 1),0.56
P03120,Q71BI4,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),0.50
P03120,Q71BI4,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),0.50
P03120,Q71BI4,taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),taxid:333760(hpv16),taxid:333760(Human papillomavirus type 16),0.35
Q98143,O40917,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG7,O40917,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG4,O40917,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,O40925,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q98143,Q76RF6,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,Q98142,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG7,Q98143,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG4,Q98143,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40931,Q98138,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q98138,Q98142,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG7,Q98138,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98138,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40929,Q77UU3,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40929,O40931,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
O40929,Q98142,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG4,O40929,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,C7E599,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q77UV9,Q76RF6,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RF4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
O40917,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40929,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,D0UZU4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,O40931,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q77UV9,Q98142,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG7,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RG4,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RG7,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RF5,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40925,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q76RF6,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,O40917,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
O40942,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,D0UZU4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q77UU3,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,O40931,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q98142,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
Q76RG7,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
D0UZU4,Q76RF6,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.37
O40931,D0UZU4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
D0UZU4,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
D0UZU4,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,D0UZU4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,D0UZN7,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.40
O40942,Q98143,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,Q98143,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.40
Q76RG4,O40917,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
D0UZU4,Q98143,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.40
Q98143,Q76RF6,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RG7,Q98138,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RG4,Q98138,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UU3,O40929,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40929,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RF6,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40917,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q98143,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40929,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
D0UZU4,Q77UV9,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RG7,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q77UV9,Q76RF5,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RF5,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RF5,Q76RG7,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RF5,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,O40925,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
Q76RF6,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,D0UZU4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,Q77UU3,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40931,O40942,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
D0UZU4,O40931,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
D0UZU4,Q76RG4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
O40942,D0UZU4,taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",taxid:37296(hhv8),"taxid:37296(""Human herpesvirus 8 (HHV-8)",0.51
