uniprotkb:Q9DBG9	uniprotkb:Q82235	intact:EBI-1161647|ensembl:ENSMUSP00000047410	intact:EBI-1162486	psi-mi:tx1b3_mouse(display_long)|uniprotkb:Tax interaction protein 1(gene name synonym)|uniprotkb:Tax1bp3(gene name)|psi-mi:Tax1bp3(display_short)	psi-mi:q82235_9dela(display_long)|uniprotkb:tax(gene name)|psi-mi:tax(display_short)	psi-mi:"MI:0096"(pull down)	Kanamori et al. (2003)	pubmed:12874278	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:11908(humt-)|taxid:11908(Human T-lymphotropic virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1162495	intact-miscore:0.44
uniprotkb:P04591-PRO_0000038593	uniprotkb:B9A2Q4	intact:EBI-6179719	intact:EBI-6163452	psi-mi:p04591-pro_0000038593(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)|uniprotkb:Pr55Gag(gene name synonym)	psi-mi:b9a2q4_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11706(hv1h2)|taxid:11706("Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)")	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174633|imex:IM-17346-7	intact-miscore:0.35
uniprotkb:P04578	uniprotkb:B0FAM1	intact:EBI-6163496|uniprotkb:O09779	intact:EBI-6163546	psi-mi:env_hv1h2(display_long)|uniprotkb:env(gene name)|psi-mi:env(display_short)|uniprotkb:Env polyprotein(gene name synonym)	psi-mi:b0fam1_9hiv1(display_long)|uniprotkb:env(gene name)|psi-mi:env(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11706(hv1h2)|taxid:11706("Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)")	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174316|imex:IM-17346-4	intact-miscore:0.35
uniprotkb:Q72497	uniprotkb:P62937	intact:EBI-1036263	intact:EBI-437708|uniprotkb:P05092|uniprotkb:Q3KQW3|uniprotkb:Q6IBU5|uniprotkb:Q96IX3|uniprotkb:Q9BRU4|uniprotkb:Q9BTY9|uniprotkb:Q9UC61|uniprotkb:A8K220|uniprotkb:Q567Q0|ensembl:ENSP00000419425.1	psi-mi:q72497_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:ppia_human(display_long)|uniprotkb:Cyclophilin A(gene name synonym)|uniprotkb:Cyclosporin A-binding protein(gene name synonym)|uniprotkb:PPIA(gene name)|psi-mi:PPIA(display_short)|uniprotkb:CYPA(gene name synonym)|uniprotkb:Rotamase A(gene name synonym)	psi-mi:"MI:0114"(x-ray crystallography)	Howard et al. (2003)	pubmed:12730686|mint:MINT-6655785	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1036284|rcsb pdb:1M9C	intact-miscore:0.62
uniprotkb:P62937	uniprotkb:Q72497	intact:EBI-437708|uniprotkb:P05092|uniprotkb:Q3KQW3|uniprotkb:Q6IBU5|uniprotkb:Q96IX3|uniprotkb:Q9BRU4|uniprotkb:Q9BTY9|uniprotkb:Q9UC61|uniprotkb:A8K220|uniprotkb:Q567Q0|ensembl:ENSP00000419425.1	intact:EBI-1036263	psi-mi:ppia_human(display_long)|uniprotkb:Cyclophilin A(gene name synonym)|uniprotkb:Cyclosporin A-binding protein(gene name synonym)|uniprotkb:PPIA(gene name)|psi-mi:PPIA(display_short)|uniprotkb:CYPA(gene name synonym)|uniprotkb:Rotamase A(gene name synonym)	psi-mi:q72497_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:"MI:0114"(x-ray crystallography)	Howard et al. (2003)	pubmed:12730686|mint:MINT-6655785	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1036295|rcsb pdb:1M9D	intact-miscore:0.62
uniprotkb:P62937	uniprotkb:Q72497	intact:EBI-437708|uniprotkb:P05092|uniprotkb:Q3KQW3|uniprotkb:Q6IBU5|uniprotkb:Q96IX3|uniprotkb:Q9BRU4|uniprotkb:Q9BTY9|uniprotkb:Q9UC61|uniprotkb:A8K220|uniprotkb:Q567Q0|ensembl:ENSP00000419425.1	intact:EBI-1036263	psi-mi:ppia_human(display_long)|uniprotkb:Cyclophilin A(gene name synonym)|uniprotkb:Cyclosporin A-binding protein(gene name synonym)|uniprotkb:PPIA(gene name)|psi-mi:PPIA(display_short)|uniprotkb:CYPA(gene name synonym)|uniprotkb:Rotamase A(gene name synonym)	psi-mi:q72497_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:"MI:0114"(x-ray crystallography)	Howard et al. (2003)	pubmed:12730686|mint:MINT-6655785	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1036306|rcsb pdb:1M9E	intact-miscore:0.62
uniprotkb:P62937	uniprotkb:Q72497	intact:EBI-437708|uniprotkb:P05092|uniprotkb:Q3KQW3|uniprotkb:Q6IBU5|uniprotkb:Q96IX3|uniprotkb:Q9BRU4|uniprotkb:Q9BTY9|uniprotkb:Q9UC61|uniprotkb:A8K220|uniprotkb:Q567Q0|ensembl:ENSP00000419425.1	intact:EBI-1036263	psi-mi:ppia_human(display_long)|uniprotkb:Cyclophilin A(gene name synonym)|uniprotkb:Cyclosporin A-binding protein(gene name synonym)|uniprotkb:PPIA(gene name)|psi-mi:PPIA(display_short)|uniprotkb:CYPA(gene name synonym)|uniprotkb:Rotamase A(gene name synonym)	psi-mi:q72497_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:"MI:0114"(x-ray crystallography)	Howard et al. (2003)	pubmed:12730686|mint:MINT-6655785	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1036317|rcsb pdb:1M9F	intact-miscore:0.62
uniprotkb:P62937	uniprotkb:Q72497	intact:EBI-437708|uniprotkb:P05092|uniprotkb:Q3KQW3|uniprotkb:Q6IBU5|uniprotkb:Q96IX3|uniprotkb:Q9BRU4|uniprotkb:Q9BTY9|uniprotkb:Q9UC61|uniprotkb:A8K220|uniprotkb:Q567Q0|ensembl:ENSP00000419425.1	intact:EBI-1036263	psi-mi:ppia_human(display_long)|uniprotkb:Cyclophilin A(gene name synonym)|uniprotkb:Cyclosporin A-binding protein(gene name synonym)|uniprotkb:PPIA(gene name)|psi-mi:PPIA(display_short)|uniprotkb:CYPA(gene name synonym)|uniprotkb:Rotamase A(gene name synonym)	psi-mi:q72497_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:"MI:0114"(x-ray crystallography)	Howard et al. (2003)	pubmed:12730686|mint:MINT-6655785	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1036328|rcsb pdb:1M9X	intact-miscore:0.62
uniprotkb:Q72497	uniprotkb:P62937	intact:EBI-1036263	intact:EBI-437708|uniprotkb:P05092|uniprotkb:Q3KQW3|uniprotkb:Q6IBU5|uniprotkb:Q96IX3|uniprotkb:Q9BRU4|uniprotkb:Q9BTY9|uniprotkb:Q9UC61|uniprotkb:A8K220|uniprotkb:Q567Q0|ensembl:ENSP00000419425.1	psi-mi:q72497_9hiv1(display_long)|uniprotkb:gag(gene name)|psi-mi:gag(display_short)	psi-mi:ppia_human(display_long)|uniprotkb:Cyclophilin A(gene name synonym)|uniprotkb:Cyclosporin A-binding protein(gene name synonym)|uniprotkb:PPIA(gene name)|psi-mi:PPIA(display_short)|uniprotkb:CYPA(gene name synonym)|uniprotkb:Rotamase A(gene name synonym)	psi-mi:"MI:0114"(x-ray crystallography)	Howard et al. (2003)	pubmed:12730686|mint:MINT-6655785	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1036339|rcsb pdb:1M9Y	intact-miscore:0.62
uniprotkb:Q76353	uniprotkb:Q9H3U1	intact:EBI-6248077	intact:EBI-1048763|uniprotkb:Q7L3Y6|uniprotkb:Q9H3U8|uniprotkb:Q9NSE8|uniprotkb:Q9NSE9|uniprotkb:A8K6F7|ensembl:ENSP00000407487.2	psi-mi:q76353_9hiv1(display_long)	psi-mi:un45a_human(display_long)|uniprotkb:GCUNC-45(gene name synonym)|uniprotkb:Smooth muscle cell-associated protein 1(gene name synonym)|uniprotkb:UNC45A(gene name)|psi-mi:UNC45A(display_short)|uniprotkb:SMAP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.35
uniprotkb:Q76353	uniprotkb:Q9GZS3	intact:EBI-6248077	intact:EBI-358545|uniprotkb:D3DW84|uniprotkb:Q6IA22|uniprotkb:Q7Z4X4|ensembl:ENSP00000267973.2|ensembl:ENSP00000453801.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:ski8_human(display_long)|uniprotkb:SKIC8(gene name)|psi-mi:SKIC8(display_short)|uniprotkb:Meiotic recombination REC14 protein homolog(gene name synonym)|uniprotkb:WD repeat-containing protein 61(gene name synonym)|uniprotkb:WDR61(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:O60518	intact:EBI-6248077	intact:EBI-1055771|uniprotkb:Q5T7X4|uniprotkb:Q7Z3V2|uniprotkb:Q96E78|ensembl:ENSP00000259569.5	psi-mi:q76353_9hiv1(display_long)	psi-mi:rnbp6_human(display_long)|uniprotkb:RANBP6(gene name)|psi-mi:RANBP6(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.50
uniprotkb:Q76353	uniprotkb:Q8NEW0	intact:EBI-6248077	intact:EBI-1043569|uniprotkb:Q8TCH2|uniprotkb:B2R949|uniprotkb:D3DT61|ensembl:ENSP00000350278.4|ensembl:ENSP00000359130.4	psi-mi:q76353_9hiv1(display_long)	psi-mi:znt7_human(display_long)|uniprotkb:SLC30A7(gene name)|psi-mi:SLC30A7(display_short)|uniprotkb:ZNT7(gene name synonym)|uniprotkb:ZNTL2(gene name synonym)|uniprotkb:Znt-like transporter 2(gene name synonym)|uniprotkb:Solute carrier family 30 member 7(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.35
uniprotkb:Q76353	uniprotkb:P13667	intact:EBI-6248077	intact:EBI-1054653|uniprotkb:A8K4K6|uniprotkb:Q549T6|ensembl:ENSP00000499129.1	psi-mi:q76353_9hiv1(display_long)	psi-mi:pdia4_human(display_long)|uniprotkb:Endoplasmic reticulum resident protein 72(gene name synonym)|uniprotkb:PDIA4(gene name)|psi-mi:PDIA4(display_short)|uniprotkb:ERP70(gene name synonym)|uniprotkb:ERP72(gene name synonym)|uniprotkb:Endoplasmic reticulum resident protein 70(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.56
uniprotkb:Q76353	uniprotkb:Q9Y263	intact:EBI-6248077	intact:EBI-1994037|uniprotkb:Q53EU5|uniprotkb:Q5VY33|uniprotkb:Q9NUL8|uniprotkb:Q9NVE9|uniprotkb:Q9UF53|uniprotkb:Q9Y5L1|ensembl:ENSP00000380460.3	psi-mi:q76353_9hiv1(display_long)	psi-mi:plap_human(display_long)|uniprotkb:PLAA(gene name)|psi-mi:PLAA(display_short)|uniprotkb:PLAP(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.56
